PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN
202710,Jimmy Butler III,GSW,38,31.1
203110,Draymond Green,GSW,37,26.8
1641764,Brandin Podziemski,GSW,45,26.7
1630228,Jonathan Kuminga,GSW,19,24.6
1630541,Moses Moody,GSW,43,24.4
1629001,De'Anthony Melton,GSW,19,20.7
201143,Al Horford,GSW,25,19.3
1642954,Will Richard,GSW,40,19.3
1642366,Quinten Post,GSW,45,18.0
1627741,Buddy Hield,GSW,38,17.0
1630311,Pat Spencer,GSW,30,13.7
1627780,Gary Payton II,GSW,42,12.7
1631218,Trayce Jackson-Davis,GSW,32,11.9
1630611,Gui Santos,GSW,34,11.4
1641708,Amen Thompson,HOU,41,37.2
201142,Kevin Durant,HOU,39,36.6
1631095,Jabari Smith Jr.,HOU,40,34.9
1630578,Alperen Sengun,HOU,34,34.2
1642263,Reed Sheppard,HOU,41,25.0
1631106,Tari Eason,HOU,22,23.5
203500,Steven Adams,HOU,32,22.8
1629006,Josh Okogie,HOU,41,19.5
1627827,Dorian Finney-Smith,HOU,12,15.5
1628988,Aaron Holiday,HOU,30,14.0
203991,Clint Capela,HOU,35,11.4
1627783,Pascal Siakam,IND,43,33.8
1631097,Bennedict Mathurin,IND,24,32.1
1629614,Andrew Nembhard,IND,35,31.9
1630174,Aaron Nesmith,IND,24,30.2
1641716,Jarace Walker,IND,45,23.2
1641767,Ben Sheppard,IND,34,22.7
1630643,Jay Huff,IND,45,19.9
1630543,Isaiah Jackson,IND,32,17.6
1642277,Johnny Furphy,IND,27,17.3
204456,T.J. McConnell,IND,32,17.2
1630695,Micah Potter,IND,14,16.9
1630679,Ethan Thompson,IND,19,16.0
1631245,Quenton Jackson,IND,22,15.8
1629726,Garrison Mathews,IND,15,13.1
1628396,Tony Bradley,IND,37,11.3
1628420,Monte Morris,IND,6,10.8
201935,James Harden,LAC,40,35.6
202695,Kawhi Leonard,LAC,30,33.8
1627826,Ivica Zubac,LAC,37,31.2
1627739,Kris Dunn,LAC,43,27.5
1628381,John Collins,LAC,40,27.4
1627884,Derrick Jones Jr.,LAC,17,24.2
203992,Bogdan Bogdanović,LAC,16,22.5
1642920,Kobe Sanders,LAC,35,20.6
203078,Bradley Beal,LAC,6,20.2
201587,Nicolas Batum,LAC,42,20.2
1641757,Jordan Miller,LAC,22,18.1
201572,Brook Lopez,LAC,36,17.0
101108,Chris Paul,LAC,16,14.2
1642353,Cam Christie,LAC,29,10.2
1629029,Luka Dončić,LAL,34,36.3
1630559,Austin Reaves,LAL,23,35.3
2544,LeBron James,LAL,25,33.2
1629060,Rui Hachimura,LAL,32,30.7
1629028,Deandre Ayton,LAL,37,29.1
